,t_cap,t_hh,xlong,ylat
514,600.0,60.0,239.71971000000002,45.27649
515,600.0,60.0,239.71802,45.2487
516,600.0,60.0,239.75552,45.23197
517,600.0,60.0,239.72061,45.27409
518,600.0,60.0,239.75704000000002,45.22968
519,600.0,60.0,239.74381,45.22966
520,600.0,60.0,239.72710999999998,45.26979
521,600.0,60.0,239.72662,45.2487
522,600.0,60.0,239.75555,45.23328
523,600.0,60.0,239.74378000000002,45.23351
524,600.0,60.0,239.74384,45.22838
525,600.0,60.0,239.72710999999998,45.26859
526,600.0,60.0,239.74447,45.22721
527,600.0,60.0,239.72021,45.2753
528,600.0,60.0,239.70751,45.24389
529,600.0,60.0,239.74381,45.23092
530,600.0,60.0,239.72111,45.27269
531,600.0,60.0,239.70682,45.24509
532,600.0,60.0,239.71912,45.24579
533,600.0,60.0,239.70521,45.2474
534,600.0,60.0,239.72752,45.2851
535,600.0,60.0,239.71347,45.28611
536,600.0,60.0,239.74432000000002,45.30589
537,600.0,60.0,239.72978999999998,45.27511
538,600.0,60.0,239.72562,45.29839
539,600.0,60.0,239.72530999999998,45.29969
540,600.0,60.0,239.72710999999998,45.29339
541,600.0,60.0,239.74401,45.3033
542,600.0,60.0,239.7295,45.27636
543,600.0,60.0,239.72811000000002,45.28259
544,600.0,60.0,239.73261,45.28799
545,600.0,60.0,239.74381,45.30079
546,600.0,60.0,239.72642000000002,45.2959
547,600.0,60.0,239.74361,45.2995
548,600.0,60.0,239.73221999999998,45.2893
549,600.0,60.0,239.71118,45.29187
550,600.0,60.0,239.71097,45.29821
551,600.0,60.0,239.74351000000001,45.29829
552,600.0,60.0,239.71096,45.2944
553,600.0,60.0,239.72781,45.28389
554,600.0,60.0,239.72671,45.29469
555,600.0,60.0,239.71202,45.28978
556,600.0,60.0,239.71098,45.29567
557,600.0,60.0,239.73572000000001,45.3029
558,600.0,60.0,239.74441000000002,45.3071
559,600.0,60.0,239.71094,45.29313
560,600.0,60.0,239.73451,45.308
561,600.0,60.0,239.72923,45.27761
562,600.0,60.0,239.72861,45.28009
563,600.0,60.0,239.71251999999998,45.28853
564,600.0,60.0,239.71299,45.28733
565,600.0,60.0,239.73511000000002,45.30549
566,600.0,60.0,239.73181,45.29049
567,600.0,60.0,239.73541,45.3042
568,600.0,60.0,239.74451,45.3084
569,600.0,60.0,239.74412,45.30459
570,600.0,60.0,239.72601,45.2972
571,600.0,60.0,239.71094,45.29694
572,600.0,60.0,239.74391,45.30209
573,600.0,60.0,239.72890999999998,45.27889
574,600.0,60.0,239.73482,45.30669
575,600.0,60.0,239.72832,45.2814
576,250.0,30.0,237.19313,44.86757
577,2000.0,80.0,242.67692,44.35225
578,2000.0,80.0,242.68252,44.35314
579,2000.0,80.0,242.68523,44.35384
580,2000.0,80.0,242.67972,44.3527
581,2000.0,80.0,242.66980999999998,44.35184
582,1650.0,80.0,240.59541000000002,45.71209
583,1650.0,80.0,240.53131000000002,45.6583
584,1650.0,80.0,240.59972,45.70329
585,1650.0,80.0,240.53731,45.6531
586,1650.0,80.0,240.59032000000002,45.69659
587,1650.0,80.0,240.59291000000002,45.69529
588,1650.0,80.0,240.57691,45.704
589,1650.0,80.0,240.51501000000002,45.6522
590,1650.0,80.0,240.52741,45.641
591,1650.0,80.0,240.53931,45.6512
592,1650.0,80.0,240.58541,45.69949
593,1650.0,80.0,240.51911,45.6485
594,1650.0,80.0,240.58791,45.69809
595,1650.0,80.0,240.59492,45.7063
596,1650.0,80.0,240.51301999999998,45.6541
597,1650.0,80.0,240.57501000000002,45.70599
598,1650.0,80.0,240.52541,45.6428
599,1650.0,80.0,240.53532,45.65479
600,1650.0,80.0,240.57771,45.70169
601,1650.0,80.0,240.59741,45.7048
602,1650.0,80.0,240.53332,45.65659
603,1650.0,80.0,240.59461,45.7142
604,1650.0,80.0,240.52330999999998,45.64479
605,1650.0,80.0,240.51711,45.6503
606,1650.0,80.0,240.52951000000002,45.6391
607,1650.0,80.0,240.52122,45.6466
608,1650.0,80.0,240.59681999999998,45.70989
609,2000.0,80.0,240.54153,45.64933
610,2000.0,80.0,240.59232,45.71809
611,2000.0,80.0,240.58361,45.72619
612,2000.0,80.0,240.54671000000002,45.6447
613,2000.0,80.0,240.54910999999998,45.64259
614,2000.0,80.0,240.54372,45.64739
615,2000.0,80.0,240.58841999999999,45.7202
616,2000.0,80.0,240.58051,45.7314
617,2000.0,80.0,240.58181000000002,45.72865
618,2000.0,80.0,240.55151,45.64039
619,1650.0,70.0,242.21091,45.10939
620,1650.0,70.0,242.20291,45.0524
621,1650.0,70.0,242.20271,45.1036
622,1650.0,70.0,242.17591,45.04659
623,1650.0,70.0,242.18101000000001,45.04929
624,1650.0,70.0,242.20391,45.1191
625,1650.0,70.0,242.18421,45.11409
626,1650.0,70.0,242.21221,45.1018
627,1650.0,70.0,242.20481,45.05259
628,1650.0,70.0,242.17761000000002,45.0473
629,1650.0,70.0,242.19741,45.1177
630,1650.0,70.0,242.19122,45.1167
631,1650.0,70.0,242.18950999999998,45.11599
632,1650.0,70.0,242.17561,45.11089
633,1650.0,70.0,242.19171,45.0495
634,1650.0,70.0,242.17750999999998,45.09209
635,1650.0,70.0,242.17901999999998,45.04829
636,1650.0,70.0,242.18770999999998,45.0542
637,1650.0,70.0,242.19720999999998,45.05109
638,1650.0,70.0,242.19351,45.05449
